PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
1,0,0.3,1,0.22,0.1,0.0,0.00725
2,1,0.1,0,0.38,0.1,0.0,0.0712833
3,1,0.3,0,0.26,0.0,0.0,0.007925
4,1,0.1,0,0.35,0.1,0.0,0.0531
5,0,0.3,1,0.35,0.0,0.0,0.00805
7,0,0.1,1,0.54,0.0,0.0,0.0518625
8,0,0.3,1,0.02,0.3,0.1,0.021075
9,1,0.3,0,0.27,0.0,0.2,0.0111333
10,1,0.2,0,0.14,0.1,0.0,0.030070799999999998
11,1,0.3,0,0.04,0.1,0.1,0.0167
12,1,0.1,0,0.58,0.0,0.0,0.02655
13,0,0.3,1,0.2,0.0,0.0,0.00805
14,0,0.3,1,0.39,0.1,0.5,0.031275
15,0,0.3,0,0.14,0.0,0.0,0.0078542
16,1,0.2,0,0.55,0.0,0.0,0.016
17,0,0.3,1,0.02,0.4,0.1,0.029125
19,0,0.3,0,0.31,0.1,0.0,0.018
21,0,0.2,1,0.35,0.0,0.0,0.026
22,1,0.2,1,0.34,0.0,0.0,0.013
23,1,0.3,0,0.15,0.0,0.0,0.0080292
24,1,0.1,1,0.28,0.0,0.0,0.0355
25,0,0.3,0,0.08,0.3,0.1,0.021075
26,1,0.3,0,0.38,0.1,0.5,0.0313875
28,0,0.1,1,0.19,0.3,0.2,0.263
31,0,0.1,1,0.4,0.0,0.0,0.0277208
34,0,0.2,1,0.66,0.0,0.0,0.0105
35,0,0.1,1,0.28,0.1,0.0,0.0821708
36,0,0.1,1,0.42,0.1,0.0,0.052
38,0,0.3,1,0.21,0.0,0.0,0.00805
39,0,0.3,0,0.18,0.2,0.0,0.018
40,1,0.3,0,0.14,0.1,0.0,0.0112417
41,0,0.3,0,0.4,0.1,0.0,0.009474999999999999
42,0,0.2,0,0.27,0.1,0.0,0.021
44,1,0.2,0,0.03,0.1,0.2,0.0415792
45,1,0.3,0,0.19,0.0,0.0,0.0078792
50,0,0.3,0,0.18,0.1,0.0,0.0178
51,0,0.3,1,0.07,0.4,0.1,0.0396875
52,0,0.3,1,0.21,0.0,0.0,0.0078
53,1,0.1,0,0.49,0.1,0.0,0.07672920000000001
54,1,0.2,0,0.29,0.1,0.0,0.026
55,0,0.1,1,0.65,0.0,0.1,0.0619792
57,1,0.2,0,0.21,0.0,0.0,0.0105
58,0,0.3,1,0.285,0.0,0.0,0.0072292
59,1,0.2,0,0.05,0.1,0.2,0.02775
60,0,0.3,1,0.11,0.5,0.2,0.0469
61,0,0.3,1,0.22,0.0,0.0,0.0072292
62,1,0.1,0,0.38,0.0,0.0,0.08
63,0,0.1,1,0.45,0.1,0.0,0.083475
64,0,0.3,1,0.04,0.3,0.2,0.027899999999999998
67,1,0.2,0,0.29,0.0,0.0,0.0105
68,0,0.3,1,0.19,0.0,0.0,0.0081583
69,1,0.3,0,0.17,0.4,0.2,0.007925
70,0,0.3,1,0.26,0.2,0.0,0.0086625
71,0,0.2,1,0.32,0.0,0.0,0.0105
72,0,0.3,0,0.16,0.5,0.2,0.0469
73,0,0.2,1,0.21,0.0,0.0,0.0735
74,0,0.3,1,0.26,0.1,0.0,0.0144542
75,1,0.3,1,0.32,0.0,0.0,0.056495800000000006
76,0,0.3,1,0.25,0.0,0.0,0.0076500000000000005
79,1,0.2,1,0.0083,0.0,0.2,0.029
80,1,0.3,0,0.3,0.0,0.0,0.012475
81,0,0.3,1,0.22,0.0,0.0,0.009
82,1,0.3,1,0.29,0.0,0.0,0.0095
84,0,0.1,1,0.28,0.0,0.0,0.0471
85,1,0.2,0,0.17,0.0,0.0,0.0105
86,1,0.3,0,0.33,0.3,0.0,0.01585
87,0,0.3,1,0.16,0.1,0.3,0.034375
89,1,0.1,0,0.23,0.3,0.2,0.263
90,0,0.3,1,0.24,0.0,0.0,0.00805
91,0,0.3,1,0.29,0.0,0.0,0.00805
92,0,0.3,1,0.2,0.0,0.0,0.0078542
93,0,0.1,1,0.46,0.1,0.0,0.061175
94,0,0.3,1,0.26,0.1,0.2,0.020575
95,0,0.3,1,0.59,0.0,0.0,0.00725
97,0,0.1,1,0.71,0.0,0.0,0.0346542
98,1,0.1,1,0.23,0.0,0.1,0.0633583
99,1,0.2,0,0.34,0.0,0.1,0.023
100,0,0.2,1,0.34,0.1,0.0,0.026
101,0,0.3,0,0.28,0.0,0.0,0.0078958
103,0,0.1,1,0.21,0.0,0.1,0.0772875
104,0,0.3,1,0.33,0.0,0.0,0.008654199999999999
105,0,0.3,1,0.37,0.2,0.0,0.007925
106,0,0.3,1,0.28,0.0,0.0,0.0078958
107,1,0.3,0,0.21,0.0,0.0,0.0076500000000000005
109,0,0.3,1,0.38,0.0,0.0,0.0078958
111,0,0.1,1,0.47,0.0,0.0,0.052
112,0,0.3,0,0.145,0.1,0.0,0.0144542
113,0,0.3,1,0.22,0.0,0.0,0.00805
114,0,0.3,0,0.2,0.1,0.0,0.009824999999999999
115,0,0.3,0,0.17,0.0,0.0,0.0144583
116,0,0.3,1,0.21,0.0,0.0,0.007925
117,0,0.3,1,0.705,0.0,0.0,0.00775
118,0,0.2,1,0.29,0.1,0.0,0.021
119,0,0.1,1,0.24,0.0,0.1,0.2475208
120,0,0.3,0,0.02,0.4,0.2,0.031275
121,0,0.2,1,0.21,0.2,0.0,0.0735
123,0,0.2,1,0.325,0.1,0.0,0.030070799999999998
124,1,0.2,0,0.325,0.0,0.0,0.013
125,0,0.1,1,0.54,0.0,0.1,0.0772875
126,1,0.3,1,0.12,0.1,0.0,0.0112417
128,1,0.3,1,0.24,0.0,0.0,0.0071417
130,0,0.3,1,0.45,0.0,0.0,0.006974999999999999
131,0,0.3,1,0.33,0.0,0.0,0.0078958
132,0,0.3,1,0.2,0.0,0.0,0.00705
133,0,0.3,0,0.47,0.1,0.0,0.0145
134,1,0.2,0,0.29,0.1,0.0,0.026
135,0,0.2,1,0.25,0.0,0.0,0.013
136,0,0.2,1,0.23,0.0,0.0,0.0150458
137,1,0.1,0,0.19,0.0,0.2,0.0262833
138,0,0.1,1,0.37,0.1,0.0,0.0531
139,0,0.3,1,0.16,0.0,0.0,0.0092167
140,0,0.1,1,0.24,0.0,0.0,0.0792
142,1,0.3,0,0.22,0.0,0.0,0.00775
143,1,0.3,0,0.24,0.1,0.0,0.01585
144,0,0.3,1,0.19,0.0,0.0,0.00675
145,0,0.2,1,0.18,0.0,0.0,0.0115
146,0,0.2,1,0.19,0.1,0.1,0.03675
147,1,0.3,1,0.27,0.0,0.0,0.007795799999999999
148,0,0.3,0,0.09,0.2,0.2,0.034375
149,0,0.2,1,0.365,0.0,0.2,0.026
150,0,0.2,1,0.42,0.0,0.0,0.013
151,0,0.2,1,0.51,0.0,0.0,0.012525
152,1,0.1,0,0.22,0.1,0.0,0.06659999999999999
153,0,0.3,1,0.555,0.0,0.0,0.00805
154,0,0.3,1,0.405,0.0,0.2,0.0145
156,0,0.1,1,0.51,0.0,0.1,0.061379199999999995
157,1,0.3,0,0.16,0.0,0.0,0.0077333
158,0,0.3,1,0.3,0.0,0.0,0.00805
161,0,0.3,1,0.44,0.0,0.1,0.0161
162,1,0.2,0,0.4,0.0,0.0,0.01575
163,0,0.3,1,0.26,0.0,0.0,0.007775000000000001
164,0,0.3,1,0.17,0.0,0.0,0.0086625
165,0,0.3,1,0.01,0.4,0.1,0.0396875
166,1,0.3,1,0.09,0.0,0.2,0.020524999999999998
168,0,0.3,0,0.45,0.1,0.4,0.027899999999999998
170,0,0.3,1,0.28,0.0,0.0,0.056495800000000006
171,0,0.1,1,0.61,0.0,0.0,0.0335
172,0,0.3,1,0.04,0.4,0.1,0.029125
173,1,0.3,0,0.01,0.1,0.1,0.0111333
174,0,0.3,1,0.21,0.0,0.0,0.007925
175,0,0.1,1,0.56,0.0,0.0,0.0306958
176,0,0.3,1,0.18,0.1,0.1,0.0078542
178,0,0.1,0,0.5,0.0,0.0,0.0287125
179,0,0.2,1,0.3,0.0,0.0,0.013
180,0,0.3,1,0.36,0.0,0.0,0.0
183,0,0.3,1,0.09,0.4,0.2,0.0313875
184,1,0.2,1,0.01,0.2,0.1,0.039
185,1,0.3,0,0.04,0.0,0.2,0.022025
188,1,0.1,1,0.45,0.0,0.0,0.02655
189,0,0.3,1,0.4,0.1,0.1,0.0155
190,0,0.3,1,0.36,0.0,0.0,0.0078958
191,1,0.2,0,0.32,0.0,0.0,0.013
192,0,0.2,1,0.19,0.0,0.0,0.013
193,1,0.3,0,0.19,0.1,0.0,0.0078542
194,1,0.2,1,0.03,0.1,0.1,0.026
195,1,0.1,0,0.44,0.0,0.0,0.0277208
196,1,0.1,0,0.58,0.0,0.0,0.1465208
198,0,0.3,1,0.42,0.0,0.1,0.008404199999999999
200,0,0.2,0,0.24,0.0,0.0,0.013
201,0,0.3,1,0.28,0.0,0.0,0.0095
203,0,0.3,1,0.34,0.0,0.0,0.0064958
204,0,0.3,1,0.455,0.0,0.0,0.007225
205,1,0.3,1,0.18,0.0,0.0,0.00805
206,0,0.3,0,0.02,0.0,0.1,0.0104625
207,0,0.3,1,0.32,0.1,0.0,0.01585
208,1,0.3,1,0.26,0.0,0.0,0.018787500000000002
209,1,0.3,0,0.16,0.0,0.0,0.00775
210,1,0.1,1,0.4,0.0,0.0,0.031
211,0,0.3,1,0.24,0.0,0.0,0.00705
212,1,0.2,0,0.35,0.0,0.0,0.021
213,0,0.3,1,0.22,0.0,0.0,0.00725
214,0,0.2,1,0.3,0.0,0.0,0.013
216,1,0.1,0,0.31,0.1,0.0,0.113275
217,1,0.3,0,0.27,0.0,0.0,0.007925
218,0,0.2,1,0.42,0.1,0.0,0.027
219,1,0.1,0,0.32,0.0,0.0,0.0762917
220,0,0.2,1,0.3,0.0,0.0,0.0105
221,1,0.3,1,0.16,0.0,0.0,0.00805
222,0,0.2,1,0.27,0.0,0.0,0.013
223,0,0.3,1,0.51,0.0,0.0,0.00805
225,1,0.1,1,0.38,0.1,0.0,0.09
226,0,0.3,1,0.22,0.0,0.0,0.009349999999999999
227,1,0.2,1,0.19,0.0,0.0,0.0105
228,0,0.3,1,0.205,0.0,0.0,0.00725
229,0,0.2,1,0.18,0.0,0.0,0.013
231,1,0.1,0,0.35,0.1,0.0,0.083475
232,0,0.3,1,0.29,0.0,0.0,0.007775000000000001
233,0,0.2,1,0.59,0.0,0.0,0.0135
234,1,0.3,0,0.05,0.4,0.2,0.0313875
235,0,0.2,1,0.24,0.0,0.0,0.0105
237,0,0.2,1,0.44,0.1,0.0,0.026
238,1,0.2,0,0.08,0.0,0.2,0.02625
239,0,0.2,1,0.19,0.0,0.0,0.0105
240,0,0.2,1,0.33,0.0,0.0,0.012275000000000001
243,0,0.2,1,0.29,0.0,0.0,0.0105
244,0,0.3,1,0.22,0.0,0.0,0.007125
245,0,0.3,1,0.3,0.0,0.0,0.007225
246,0,0.1,1,0.44,0.2,0.0,0.09
247,0,0.3,0,0.25,0.0,0.0,0.007775000000000001
248,1,0.2,0,0.24,0.0,0.2,0.0145
249,1,0.1,1,0.37,0.1,0.1,0.0525542
250,0,0.2,1,0.54,0.1,0.0,0.026
252,0,0.3,0,0.29,0.1,0.1,0.0104625
253,0,0.1,1,0.62,0.0,0.0,0.02655
254,0,0.3,1,0.3,0.1,0.0,0.0161
255,0,0.3,0,0.41,0.0,0.2,0.020212499999999998
256,1,0.3,0,0.29,0.0,0.2,0.015245799999999999
258,1,0.1,0,0.3,0.0,0.0,0.0865
259,1,0.1,0,0.35,0.0,0.0,0.5123292
260,1,0.2,0,0.5,0.0,0.1,0.026
262,1,0.3,1,0.03,0.4,0.2,0.0313875
263,0,0.1,1,0.52,0.1,0.1,0.07965000000000001
264,0,0.1,1,0.4,0.0,0.0,0.0
266,0,0.2,1,0.36,0.0,0.0,0.0105
267,0,0.3,1,0.16,0.4,0.1,0.0396875
268,1,0.3,1,0.25,0.1,0.0,0.007775000000000001
269,1,0.1,0,0.58,0.0,0.1,0.1534625
270,1,0.1,0,0.35,0.0,0.0,0.13563329999999998
272,1,0.3,1,0.25,0.0,0.0,0.0
273,1,0.2,0,0.41,0.0,0.1,0.0195
274,0,0.1,1,0.37,0.0,0.1,0.0297
276,1,0.1,0,0.63,0.1,0.0,0.0779583
277,0,0.3,0,0.45,0.0,0.0,0.00775
279,0,0.3,1,0.07,0.4,0.1,0.029125
280,1,0.3,0,0.35,0.1,0.1,0.02025
281,0,0.3,1,0.65,0.0,0.0,0.00775
282,0,0.3,1,0.28,0.0,0.0,0.0078542
283,0,0.3,1,0.16,0.0,0.0,0.0095
284,1,0.3,1,0.19,0.0,0.0,0.00805
286,0,0.3,1,0.33,0.0,0.0,0.0086625
287,1,0.3,1,0.3,0.0,0.0,0.0095
288,0,0.3,1,0.22,0.0,0.0,0.0078958
289,1,0.2,1,0.42,0.0,0.0,0.013
290,1,0.3,0,0.22,0.0,0.0,0.00775
291,1,0.1,0,0.26,0.0,0.0,0.07884999999999999
292,1,0.1,0,0.19,0.1,0.0,0.0910792
293,0,0.2,1,0.36,0.0,0.0,0.012875
294,0,0.3,0,0.24,0.0,0.0,0.00885
295,0,0.3,1,0.24,0.0,0.0,0.0078958
297,0,0.3,1,0.235,0.0,0.0,0.0072292
298,0,0.1,0,0.02,0.1,0.2,0.15155000000000002
300,1,0.1,0,0.5,0.0,0.1,0.2475208
303,0,0.3,1,0.19,0.0,0.0,0.0
306,1,0.1,1,0.0092,0.1,0.2,0.15155000000000002
308,1,0.1,0,0.17,0.1,0.0,0.10890000000000001
309,0,0.2,1,0.3,0.1,0.0,0.024
310,1,0.1,0,0.3,0.0,0.0,0.0569292
311,1,0.1,0,0.24,0.0,0.0,0.08315829999999999
312,1,0.1,0,0.18,0.2,0.2,0.262375
313,0,0.2,0,0.26,0.1,0.1,0.026
314,0,0.3,1,0.28,0.0,0.0,0.0078958
315,0,0.2,1,0.43,0.1,0.1,0.02625
316,1,0.3,0,0.26,0.0,0.0,0.0078542
317,1,0.2,0,0.24,0.1,0.0,0.026
318,0,0.2,1,0.54,0.0,0.0,0.014
319,1,0.1,0,0.31,0.0,0.2,0.1648667
320,1,0.1,0,0.4,0.1,0.1,0.1345
321,0,0.3,1,0.22,0.0,0.0,0.00725
322,0,0.3,1,0.27,0.0,0.0,0.0078958
323,1,0.2,0,0.3,0.0,0.0,0.01235
324,1,0.2,0,0.22,0.1,0.1,0.029
326,1,0.1,0,0.36,0.0,0.0,0.13563329999999998
327,0,0.3,1,0.61,0.0,0.0,0.0062375
328,1,0.2,0,0.36,0.0,0.0,0.013
329,1,0.3,0,0.31,0.1,0.1,0.020524999999999998
330,1,0.1,0,0.16,0.0,0.1,0.0579792
332,0,0.1,1,0.455,0.0,0.0,0.0285
333,0,0.1,1,0.38,0.0,0.1,0.1534625
334,0,0.3,1,0.16,0.2,0.0,0.018
337,0,0.1,1,0.29,0.1,0.0,0.06659999999999999
338,1,0.1,0,0.41,0.0,0.0,0.1345
339,1,0.3,1,0.45,0.0,0.0,0.00805
340,0,0.1,1,0.45,0.0,0.0,0.0355
341,1,0.2,1,0.02,0.1,0.1,0.026
342,1,0.1,0,0.24,0.3,0.2,0.263
343,0,0.2,1,0.28,0.0,0.0,0.013
344,0,0.2,1,0.25,0.0,0.0,0.013
345,0,0.2,1,0.36,0.0,0.0,0.013
346,1,0.2,0,0.24,0.0,0.0,0.013
347,1,0.2,0,0.4,0.0,0.0,0.013
349,1,0.3,1,0.03,0.1,0.1,0.0159
350,0,0.3,1,0.42,0.0,0.0,0.0086625
351,0,0.3,1,0.23,0.0,0.0,0.009224999999999999
353,0,0.3,1,0.15,0.1,0.1,0.0072292
354,0,0.3,1,0.25,0.1,0.0,0.0178
356,0,0.3,1,0.28,0.0,0.0,0.0095
357,1,0.1,0,0.22,0.0,0.1,0.055
358,0,0.2,0,0.38,0.0,0.0,0.013
361,0,0.3,1,0.4,0.1,0.4,0.027899999999999998
362,0,0.2,1,0.29,0.1,0.0,0.0277208
363,0,0.3,0,0.45,0.0,0.1,0.0144542
364,0,0.3,1,0.35,0.0,0.0,0.00705
366,0,0.3,1,0.3,0.0,0.0,0.00725
367,1,0.1,0,0.6,0.1,0.0,0.07525
370,1,0.1,0,0.24,0.0,0.0,0.0693
371,1,0.1,1,0.25,0.1,0.0,0.0554417
372,0,0.3,1,0.18,0.1,0.0,0.0064958
373,0,0.3,1,0.19,0.0,0.0,0.00805
374,0,0.1,1,0.22,0.0,0.0,0.13563329999999998
375,0,0.3,0,0.03,0.3,0.1,0.021075
377,1,0.3,0,0.22,0.0,0.0,0.00725
378,0,0.1,1,0.27,0.0,0.2,0.2115
379,0,0.3,1,0.2,0.0,0.0,0.0040125000000000004
380,0,0.3,1,0.19,0.0,0.0,0.007775000000000001
381,1,0.1,0,0.42,0.0,0.0,0.227525
382,1,0.3,0,0.01,0.0,0.2,0.0157417
383,0,0.3,1,0.32,0.0,0.0,0.007925
384,1,0.1,0,0.35,0.1,0.0,0.052
386,0,0.2,1,0.18,0.0,0.0,0.0735
387,0,0.3,1,0.01,0.5,0.2,0.0469
388,1,0.2,0,0.36,0.0,0.0,0.013
390,1,0.2,0,0.17,0.0,0.0,0.012
391,1,0.1,1,0.36,0.1,0.2,0.12
392,1,0.3,1,0.21,0.0,0.0,0.007795799999999999
393,0,0.3,1,0.28,0.2,0.0,0.007925
394,1,0.1,0,0.23,0.1,0.0,0.113275
395,1,0.3,0,0.24,0.0,0.2,0.0167
396,0,0.3,1,0.22,0.0,0.0,0.007795799999999999
397,0,0.3,0,0.31,0.0,0.0,0.0078542
398,0,0.2,1,0.46,0.0,0.0,0.026
399,0,0.2,1,0.23,0.0,0.0,0.0105
400,1,0.2,0,0.28,0.0,0.0,0.01265
401,1,0.3,1,0.39,0.0,0.0,0.007925
402,0,0.3,1,0.26,0.0,0.0,0.00805
403,0,0.3,0,0.21,0.1,0.0,0.009824999999999999
404,0,0.3,1,0.28,0.1,0.0,0.01585
405,0,0.3,0,0.2,0.0,0.0,0.0086625
406,0,0.2,1,0.34,0.1,0.0,0.021
407,0,0.3,1,0.51,0.0,0.0,0.00775
408,1,0.2,1,0.03,0.1,0.1,0.01875
409,0,0.3,1,0.21,0.0,0.0,0.007775000000000001
413,1,0.1,0,0.33,0.1,0.0,0.09
415,1,0.3,1,0.44,0.0,0.0,0.007925
417,1,0.2,0,0.34,0.1,0.1,0.0325
418,1,0.2,0,0.18,0.0,0.2,0.013
419,0,0.2,1,0.3,0.0,0.0,0.013
420,0,0.3,0,0.1,0.0,0.2,0.024149999999999998
422,0,0.3,1,0.21,0.0,0.0,0.0077333
423,0,0.3,1,0.29,0.0,0.0,0.007875
424,0,0.3,0,0.28,0.1,0.1,0.0144
425,0,0.3,1,0.18,0.1,0.1,0.020212499999999998
427,1,0.2,0,0.28,0.1,0.0,0.026
428,1,0.2,0,0.19,0.0,0.0,0.026
430,1,0.3,1,0.32,0.0,0.0,0.00805
431,1,0.1,1,0.28,0.0,0.0,0.02655
433,1,0.2,0,0.42,0.1,0.0,0.026
434,0,0.3,1,0.17,0.0,0.0,0.007125
435,0,0.1,1,0.5,0.1,0.0,0.0559
436,1,0.1,0,0.14,0.1,0.2,0.12
437,0,0.3,0,0.21,0.2,0.2,0.034375
438,1,0.2,0,0.24,0.2,0.3,0.01875
439,0,0.1,1,0.64,0.1,0.4,0.263
440,0,0.2,1,0.31,0.0,0.0,0.0105
441,1,0.2,0,0.45,0.1,0.1,0.02625
442,0,0.3,1,0.2,0.0,0.0,0.0095
443,0,0.3,1,0.25,0.1,0.0,0.007775000000000001
444,1,0.2,0,0.28,0.0,0.0,0.013
446,1,0.1,1,0.04,0.0,0.2,0.0818583
